name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
Girls,NATURE,spotify:track:64HHzg4ILYpcYOGS0XQzOo,5,0,0.00734,0.693,0.835,0.128,-3.283,115.05,0.637,52
My Friend,CHUNG HA,spotify:track:0vFKaaqXkeaaC2iGtKRGyt,6,1,0.469,0.854,0.618,0.12,-5.927,131.981,0.836,49
GANG - Official Remix,Sik-K,spotify:track:1s0omF56w0oAEZiWp1VNS7,11,0,0.019,0.681,0.806,0.0968,-3.983,150.062,0.557,45
Zombie,DAY6,spotify:track:4s0dJmVknlUl7V6oK3puzZ,0,1,0.0117,0.79,0.542,0.0818,-4.119,121.982,0.527,65
NINETEEN,NATTY,spotify:track:3mVzC9U8eyAmDNWnPniCIN,6,0,0.0721,0.701,0.835,0.0652,-3.788,121.062,0.456,43
Fall in Love,Youngjae,spotify:track:4lpMmdpOCEc2LJVgTFny46,2,1,0.444,0.738,0.669,0.0456,-4.307,93.998,0.69,46
All The Way Up (K),Jay Park,spotify:track:6lp2MvqEBSdL3L84GAvl4o,7,1,0.299,0.529,0.711,0.13,-5.589,114.863,0.544,49
Peek-A-Boo,Red Velvet,spotify:track:42tFTth2jcF7iSo0RBjfJF,1,0,0.0868,0.839,0.902,0.272,-3.612,114.953,0.639,69
My Eyes,10cm,spotify:track:0ndIZ2XvGtXV0PIbEAwoIv,0,1,0.439,0.892,0.443,0.0866,-6.178,107.983,0.714,48
Phonecert 폰서트,10cm,spotify:track:4X3OlLezpBmskDaqlpINQ8,9,1,0.391,0.858,0.481,0.128,-3.649,107.96,0.773,20
OGZ (PROD. GroovyRoom),JOWOOCHAN,spotify:track:08u0Rg0qkZ4y2UkDpWoL67,0,1,0.0497,0.793,0.793,0.0734,-3.067,132.04,0.31,37
iD (Prod.By GRAY),Sleepy,spotify:track:6iZbX6zfmpx40UDy6Xcbl1,3,0,0.131,0.736,0.776,0.25,-4.22,115.948,0.838,23
Gimmick,Sleepy,spotify:track:2zEgm66zLaJpDeMPKvWxRF,5,0,0.318,0.784,0.916,0.109,-3.412,121.951,0.683,13
BOSS,NCT,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,10,0,0.0233,0.787,0.543,0.0861,-6.7,99.026,0.332,70
Baby Don’t Stop,NCT,spotify:track:1EYSS9Lp7a9f20C3FaOVgI,8,1,0.0214,0.827,0.739,0.043,-6.391,95.999,0.352,68
Hellevator,Stray Kids,spotify:track:7wrHzCQ5C6ieyeXOBkcWx3,7,0,0.00817,0.465,0.816,0.393,-2.33,78.457,0.295,2
Grrr 총량의 법칙,Stray Kids,spotify:track:185o8d33211rJBW5UlJVrY,1,1,0.042,0.675,0.963,0.397,-1.884,97.968,0.455,4
괜찮아 괜찮아 Fantasy,Fei,spotify:track:2aGgbYDhFvGuH0agb2koJq,3,0,0.325,0.771,0.683,0.0997,-4.96,115.014,0.567,7
THINK ABOUT YOU,Jun. K,spotify:track:4GCGwT7W2RHiD71uMwlMkO,7,1,0.453,0.702,0.512,0.151,-3.466,130.036,0.35,2
Mysterious,HELLOVENUS,spotify:track:5so48MQAzRucBE7mrL7F7V,8,1,0.108,0.614,0.819,0.099,-3.249,206.047,0.808,0
놓아 놓아 놓아 Letting Go,DAY6,spotify:track:7Jp5vVEO8VthapUJC6zhG5,5,0,0.0949,0.389,0.606,0.199,-4.923,169.969,0.206,17
놀리러 간다,SPEED,spotify:track:2cD8Jv4yjICHWXlhGa9MKn,2,1,0.0235,0.705,0.911,0.26,-3.931,124.903,0.754,41
RECIPE,WOODZ,spotify:track:6UgtZqF1ohFKyeRznjI8fP,6,0,0.3,0.674,0.924,0.0557,-3.697,140.012,0.536,33
Promise (I'll be),2PM,spotify:track:22gIYvi39amZmTIWimZvCP,1,0,0.109,0.571,0.945,0.104,-1.72,159.903,0.511,5
no shadow,Jun. K,spotify:track:6GeBQeUkpLdpbHi1dd7YHa,9,0,0.313,0.729,0.741,0.262,-2.036,119.908,0.429,0
Perfect Man,SHINHWA,spotify:track:115a4lQhDJGnu4QVSa8bUW,5,0,0.0247,0.751,0.912,0.0778,-1.822,108.002,0.804,56
Yes No Maybe,Suzy,spotify:track:5agNBfJwMMQKZqpexZJNd8,1,1,0.241,0.633,0.781,0.124,-4.052,164.817,0.5,20
Zombie High,그레이스(Grace),spotify:track:4t5Pr3jI2MNWFZ37piZVAh,11,1,0.0398,0.764,0.844,0.141,-5.079,97.599,0.4,0
Day Star,Cando,spotify:track:4y56WDNPXkDKXwY0ctHlOv,7,1,0.229,0.75,0.587,0.167,-6.265,125.038,0.407,0
Penthouse (Prod. APRO),pH-1,spotify:track:6emzoqPK7R90w6R92u3XfJ,5,0,0.559,0.744,0.782,0.144,-5.814,138.01,0.911,30
Francesca,Hash Swan,spotify:track:2rswsdvGNEZm4jwTqlWSnP,7,1,0.341,0.888,0.798,0.0401,-3.673,114.975,0.881,32
Wang Like Alexander,Hash Swan,spotify:track:3Ui2EsRcLvWgB9pgzddlNV,9,0,0.118,0.466,0.843,0.341,-3.574,172.92,0.934,30
Potion,Eric Nam,spotify:track:02sD9kxKrCboVcOKzx3VyZ,11,0,0.137,0.726,0.711,0.285,-3.456,102.957,0.676,41
Honestly,Eric Nam,spotify:track:7uW2sLxLjNgQJHa71LGVGr,0,0,0.0706,0.75,0.799,0.377,-2.788,110.991,0.462,53
Person Like A Person,NO:EL,spotify:track:5rJSYC9DnpEGjfIwWb0tDA,10,1,0.201,0.789,0.732,0.046,-5.03,148.029,0.931,20
Leave,Hoon TK,spotify:track:3c08W8KCwK48WaESOps0mL,5,0,0.352,0.593,0.589,0.116,-7.633,139.89,0.45,5
The open boat,Primary,spotify:track:5dzqwQujn1OTikVIoHtGVu,2,1,0.0308,0.464,0.768,0.113,-4.653,167.94,0.212,32
달리,Hyolyn,spotify:track:21jActlsyXzkKDkN3LK6G7,11,0,0.293,0.666,0.82,0.249,-2.886,143.741,0.883,27
You Back Then (feat. Jayeong Seo),Siyoon,spotify:track:7tvXqQPYwPxBnrjeQSjPe5,5,0,0.158,0.769,0.495,0.239,-4.422,121.15,0.789,22
Come Over,DEAN,spotify:track:1ieDhJfetL1wUFTC0YIriP,6,0,0.0893,0.499,0.633,0.64,-7.854,168.001,0.294,0
Stay Here,Gaho,spotify:track:20mZ4O5ztRZltdvLEJbi4z,1,1,0.639,0.411,0.338,0.207,-7.538,135.931,0.328,59
O.M.G.,HALO,spotify:track:0aG1btZgYZpi6WnhiK8O5V,6,0,0.0427,0.732,0.8,0.111,-3.209,118.054,0.901,34
Voice 묵소리,Taylor,spotify:track:3jTjVvoGqEC0NK5aN2nnra,11,1,0.961,0.653,0.231,0.102,-6.622,129.519,0.367,1
Intro: Singularity,BTS,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,1,0,0.554,0.775,0.271,0.112,-9.131,104.001,0.204,67
Jasmine,DPR LIVE,spotify:track:2IgbYlOlFpiSFYnsqB39lM,8,1,0.331,0.597,0.486,0.14,-5.893,137.68,0.397,65
DDU-DU DDU-DU,BLACKPINK,spotify:track:7b8YOVV5quZcSKEijDgyWB,4,0,0.0313,0.671,0.859,0.267,-3.922,139.931,0.39,35
Boong-Boong,HAON,spotify:track:4dC5kCBQEMgRjEvlavlsZy,0,0,0.426,0.824,0.694,0.084,-4.527,136.027,0.927,44
ALARM,BOiTELLO,spotify:track:0UZzGR19n2pdlDHnD0LrVN,0,1,0.161,0.72,0.873,0.106,-4.169,123.066,0.419,19
POOL,WOODZ,spotify:track:3fCZKucLEtLkTLtRUZrfkG,5,1,0.449,0.724,0.453,0.0834,-8.588,119.937,0.637,57
SHE BAD,MYTEEN,spotify:track:7k1YG4KliiXCVawNyvwT7X,7,0,0.114,0.698,0.908,0.088,-4.298,108.019,0.564,9
Get It,PRISTIN V,spotify:track:6sOBI67H8F3S1cNS6CM5p7,7,1,0.212,0.463,0.883,0.213,-3.245,99.021,0.439,57
Remind you,dob,spotify:track:0doK7eEePPV5YktUesjhTB,3,1,0.635,0.672,0.676,0.131,-7.421,129.941,0.825,0
Penalty,Louie,spotify:track:7hiJSx8TcGYFZLtl4Ch7Yj,6,0,0.401,0.809,0.597,0.272,-6.377,115.965,0.453,24
Way Back Home,SHAUN,spotify:track:3NxuezMdSLgt4OwHzBoUhL,10,1,0.405,0.745,0.739,0.127,-4.591,99.913,0.556,73
Go Deep,BRLLNT,spotify:track:6bpqGCGS4ju4Jf9LMZAnU2,1,0,0.121,0.907,0.465,0.113,-6.729,130.11,0.585,22
RUN,Lee Jin Ah,spotify:track:6qBwmCd2cLd4O7uIGfvak1,4,0,0.187,0.764,0.685,0.0739,-6.71,136.95,0.613,0
Take Me Higher,A.C.E,spotify:track:2co7H0J0xQhbcHcXUk9dCn,0,1,0.0355,0.607,0.875,0.262,-3.71,119.969,0.608,46
I'll Find You (feat. June),Jung Jin Woo,spotify:track:59xYro2oalqGgVkGPjsPvL,3,0,0.387,0.369,0.453,0.121,-8.442,84.079,0.235,0
DIFFERENT,WOODZ,spotify:track:5Y7a8iWIawp1QTbevGeH1V,4,1,0.0223,0.628,0.811,0.0797,-4.26,124.066,0.442,61
Choppy,Sik-K,spotify:track:3MIO3zZPBkEUZ9nx7Ja2WD,1,0,0.149,0.698,0.67,0.107,-5.31,76.011,0.373,17
My Pace,Stray Kids,spotify:track:4giQE1WslvC0WH412UVLYB,11,0,0.0577,0.682,0.83,0.0926,-4.234,155.122,0.784,12
KILLING ME,iKON,spotify:track:27kB4qLUCV8nZd2eOgj1Tk,9,0,0.465,0.76,0.672,0.205,-5.277,127.986,0.505,23
I’m Good,BUMZU,spotify:track:1XU8ZM2uaEzVh3nZHmZfGl,7,1,0.179,0.697,0.697,0.618,-5.208,102.079,0.693,19
Cereal,Crush,spotify:track:4G5SXAQyz9D75KmKTLbI0X,9,0,0.552,0.883,0.567,0.108,-6.092,115.051,0.561,50
Your Night,Sik-K,spotify:track:1IYAhU8ZdnM9vXHMBW2gF4,6,0,0.41,0.713,0.666,0.132,-6.623,105.014,0.583,30
My Paradise,GroovyRoom,spotify:track:5lJSo1AQe6lbo75ggTmoXQ,10,0,0.0801,0.683,0.709,0.0977,-3.674,183.981,0.288,28
XIBAL,Sik-K,spotify:track:5YUkZNOcWRGtH1f9vBqbEi,7,1,0.264,0.779,0.567,0.241,-7.269,103.022,0.826,32
V,Jay Park,spotify:track:68vMDFui7uTbw9OQcyB0gD,10,1,0.419,0.83,0.569,0.156,-7.737,129.968,0.858,0
Tempo,EXO,spotify:track:4EjUFjzi4ErWjklOA3Aslu,0,1,0.237,0.686,0.842,0.0683,-4.423,115.944,0.519,64
COCO BOTTLE,PENOMECO,spotify:track:3hHpCjJdBBw4KjizY8l72r,11,0,0.1,0.826,0.714,0.256,-5.92,120.019,0.858,50
NOAH,HAON,spotify:track:1snopndi7k1Y0c4KpWtjJa,9,0,0.26,0.757,0.947,0.096,-3.888,116.023,0.684,45
One of Those Nights,KEY,spotify:track:2OsH4MtKPVeI8w9sFBLEvZ,5,0,0.0689,0.732,0.589,0.0489,-6.223,127.968,0.619,56
나의 땅,BewhY,spotify:track:7kwJEVOerY8SjahSmnm7oW,7,0,0.516,0.699,0.879,0.232,-2.942,117.896,0.614,0
ADDICT,Sik-K,spotify:track:0Kg3DAGOuzZ8pMMykBVz3t,5,1,0.128,0.573,0.901,0.101,-4.193,160.106,0.772,28
FIRE,Sik-K,spotify:track:5ewJXFVfUlsMOxALWWyEGK,11,0,0.103,0.537,0.813,0.111,-3.989,82.967,0.321,32
Tequila (feat. Hoody),GSoul,spotify:track:1SA2NK1wlPKMhyrA9dF2TI,3,0,0.431,0.722,0.558,0.1,-7.723,100.056,0.913,50
ENGINE,Jay Park,spotify:track:7m0AVCxRcpR8Q5j1tUICVT,0,1,0.52,0.835,0.726,0.156,-4.335,110.019,0.568,39
MIROH,Stray Kids,spotify:track:4WuKHgxdCJsaOBIh7yndty,9,1,0.00911,0.563,0.979,0.249,-3.104,126.063,0.503,71
Bon Bon Chocolat,EVERGLOW,spotify:track:06Pvy98db25O7wlfFFFIRM,6,1,0.0343,0.719,0.828,0.0747,-5.559,139.927,0.634,64
OVERZONE,SAAY,spotify:track:52apyWv5B0JKYZWGC7yuMe,10,0,0.259,0.775,0.643,0.104,-4.591,118.961,0.716,28
Valkyrie,ONEUS,spotify:track:0oNFVyzwK6TFdFHSsD1dmC,9,0,0.0254,0.731,0.817,0.147,-3.906,127.952,0.657,56
MILLION,Moon Sujin,spotify:track:6waZJ1ItGdhaKjWEKZb9PL,5,0,0.415,0.665,0.615,0.0811,-4.692,137.834,0.661,0
We Go Up,NCT DREAM,spotify:track:26vOBLHS116a4WNUVlvAUW,8,1,0.0138,0.893,0.77,0.225,-4.692,122.067,0.349,65
Super Asia,TPA,spotify:track:57MImcITVN1eeIG9JS8dXZ,9,1,0.0953,0.739,0.747,0.0606,-6.237,148.046,0.683,0
9 and Three Quarters (Run Away),TOMORROW X TOGETHER,spotify:track:2MsNSKQNQNRklkKFxxvIav,1,1,0.0055,0.639,0.756,0.13,-4.42,128.937,0.532,61
Jopping,SuperM,spotify:track:5WrEilrRI5cIW0DxMvQYPZ,10,0,0.0139,0.74,0.835,0.857,-3.425,123.024,0.535,68
2 Fast,SuperM,spotify:track:5U3DWGGD8mFYcDhoMxpQPD,5,0,0.227,0.468,0.737,0.104,-4.808,130.04,0.496,52
Runaway,Eric Nam,spotify:track:7JPzFzJLrzmINVguyqtMay,8,1,0.287,0.731,0.775,0.102,-4.079,119.972,0.616,57
TMI,GRAY,spotify:track:0cMrtRgJ2pU8pwX05iZnT3,8,1,0.544,0.658,0.734,0.168,-6.59,150.057,0.662,41
Right away,Coogie,spotify:track:44LDhDUtwlmLRRGJz0ymeE,11,1,0.394,0.624,0.824,0.151,-3.896,120.077,0.545,0
119 REMIX,Jay Park,spotify:track:6Y0VCyjVZ7waMVgDMJffu4,2,1,0.0544,0.624,0.848,0.33,-1.564,160.041,0.735,46
Wet The Bed,Sik-K,spotify:track:0SdSuUUoVuQWA40yldhDht,10,1,0.421,0.662,0.717,0.103,-5.446,88.753,0.581,44
Transcend,BewhY,spotify:track:7tG3irYkVZ1nkSCFXA6vQN,8,0,0.231,0.737,0.685,0.135,-6.036,124.948,0.343,45
Wifey,Coogie,spotify:track:3fnPF7Qo3PLAtF8iFtFSrz,5,0,0.149,0.674,0.829,0.074,-4.805,75.944,0.851,0
Psycho,Red Velvet,spotify:track:3CYH422oy1cZNoo0GTG1TK,8,1,0.193,0.664,0.666,0.0854,-2.203,139.987,0.405,80
Too Much,GIST,spotify:track:2CkSfcsCPkLKWsjrUYo8yO,6,0,0.298,0.543,0.717,0.116,-5.648,204.365,0.549,13
You Can Try 해도 돼,J.BASS,spotify:track:7ESCdMmtuLbLWNEzcvNlf7,4,0,0.151,0.745,0.622,0.0931,-4.134,76.001,0.798,6
HIP,MAMAMOO,spotify:track:24nK8tW7Pt3Inh2utttuoG,3,0,0.0376,0.782,0.731,0.0956,-4.581,138.032,0.824,75
RISKY - Sik-K Remix,Avin,spotify:track:0tU16PbC314birHXD1BtDH,1,1,0.025,0.777,0.743,0.0884,-4.519,112.034,0.802,26
Freedumb,sokodomo,spotify:track:2ks0gsdErGljb4h2DrrRvl,2,0,0.422,0.648,0.911,0.376,-3.207,150.081,0.734,32
Without You,Golden Child,spotify:track:6P79WvoWD60NKDHxKNxfxn,5,0,0.417,0.714,0.731,0.231,-5.555,121.025,0.557,49
Stop it,GREE,spotify:track:06NXi5YfDtw4qG8FxIWtyc,4,1,0.0904,0.734,0.613,0.318,-4.559,94.007,0.501,21
TIME LAPSE,Young Kay,spotify:track:0rwuaXuIeLzU0xB7WVN1uZ,2,0,0.222,0.68,0.673,0.032,-3.852,152.101,0.687,14
METEOR,CHANGMO,spotify:track:06eq0M1eZRcIIRfx6d00nu,8,1,0.316,0.728,0.642,0.0834,-4.989,185.797,0.755,51
GWANGAN BRIDGE,Kiggen,spotify:track:7qeapEJAF0d7wyYNWeVRK2,0,1,0.776,0.641,0.781,0.13,-6.592,85.039,0.761,36
The Time I Need,KIM JAE HWAN,spotify:track:3qDjicRR4yETx2ub0VwQqs,2,1,0.792,0.865,0.487,0.0833,-6.216,104.974,0.525,30
Respect (Prod by BOYTOY),Young Kay,spotify:track:6EqkF0V6nS3nPrq0VlwafD,5,0,0.254,0.551,0.875,0.136,-2.499,93.759,0.643,8
Make This,1TEAM,spotify:track:7rfPz69SUtFEtlftQu6NsL,5,0,0.183,0.731,0.685,0.134,-6.21,100.049,0.442,46
GOTTASADAE,BewhY,spotify:track:5nJvKQsFRmCp2i7EiKjZDg,10,0,0.143,0.806,0.678,0.331,-3.841,131.994,0.433,58
We don’t talk together,HEIZE,spotify:track:77dcmf2tTedc3BuOPF13Ma,11,0,0.039,0.64,0.734,0.333,-4.67,97.862,0.308,61
HELLP,Ryno,spotify:track:32MEaVAxTDZT7AOiI83Rfh,7,1,0.517,0.802,0.652,0.085,-4.254,75.026,0.77,30
My Bad (feat. SHAUN),Advanced,spotify:track:7dQFzMYhTXTtIYyoiiHdr8,5,1,0.0208,0.618,0.861,0.128,-6.041,102.014,0.653,38
love me,nafla,spotify:track:69He25DiE6qIsBmgPGF01h,3,0,0.543,0.818,0.479,0.111,-4.977,92.135,0.448,35
Sugar,J.cob,spotify:track:66pk208YAMx4UYcAwPzXQd,5,1,0.35,0.668,0.54,0.168,-4.607,75.077,0.517,35
Broccoli (feat. Youjjang),Trippy Kev,spotify:track:57SXYrAdBfgSuUKzyUyx8g,5,1,0.775,0.688,0.626,0.107,-4.832,99.002,0.104,16
Teenage in Closet,Hash Swan,spotify:track:28JhhUEMHelOkvdSmp1PPS,9,1,0.0809,0.702,0.769,0.103,-6.089,99.997,0.544,36
Lovesick Girls,BLACKPINK,spotify:track:4Ws314Ylb27BVsvlZOy30C,6,1,0.00559,0.654,0.707,0.0873,-5.661,127.97,0.448,79
Future,Red Velvet,spotify:track:2gvlPqqngL3BppFCwLXnVc,7,1,0.438,0.717,0.868,0.148,-3.073,100.005,0.552,71
MENNAL,Vince,spotify:track:054E40O0Jka0PSp4EbkQ1J,6,0,0.0678,0.924,0.736,0.267,-6.172,120.031,0.842,2
Candy,BAEKHYUN,spotify:track:6kKC35sKUh2FUx4M0qAL44,11,0,0.24,0.649,0.767,0.0929,-3.838,149.918,0.608,71
Bambi,BAEKHYUN,spotify:track:60VaORSJ5x1D4ZPSc0g2En,7,0,0.434,0.438,0.632,0.214,-4.447,61.45,0.386,76
